Title,Year,Genre,Plot,Kind
www.XXX.com,2003,"Drama, Romance","A Filipino-American girl escapes the consequences of her State-side abortion by going back to her home country. With relatives not so happy to see her, Joanna tries to make sense of her life. However she is soon in the clutches of a smooth cybercafe owner who introduces her to WebDiva.Com. Joanna soon becomes their big money-maker, all the while starting up a tentative affair with Spike, a misguided hacker.",movie
U-Turn,2020,"Horror, Thriller","U-turn follows the life of Donna, (Kim Chiu) a junior reporter who covers an incident on an abandoned highway where some people allegedly make an illegal u-turn. Strange things start to happen everyday as our protagonist slowly uncovers each insidious mystery.Written bymigzcuad",movie
BuyBust,2018,"Action, Crime, Thriller","After surviving the slaughter of her entire squad in a drug raid compromised by dirty cops, anti-narcotics special operative Nina Manigan (Anne Curtis), is eager to go head-to-head with the drug cartels that hold a bloody grip on Manila. But when her new mission in the city's most dangerous slum goes south, the angry civilians turn on her squad. Trapped between a brutal drug gang and hordes of bloodthirsty citizens, their only option is to fight their way out, turning one claustrophobic street at a time into a symphony of apocalyptic violence.",movie
Adan,2019,"Drama, Thriller",A farmer's daughter enlists the help of her best friend to escape the clutches of her father and lonely life in the barren rice fields of her youth - their friendship deepening into a sexually charged romance and threatened by secrets that could end the two women's love affair.,movie
Gameboys,2020,Romance,Cairo is raring for a rematch after his sudden defeat in a popular mobile game. But his opponent Gavreel wants something in return.,tv series
The Panti Sisters,2019,Comedy,Three gay sons are called back by their estranged and terminally-ill father and given an offer they can't refuse: a P300 million inheritance in exchange for each of them giving him a grandchild.,movie
Must Be... Love,2013,"Comedy, Romance","Patricia, a tomboyish teenage girl who fell in love with her childhood best friend, Ivan. But Ivan sees her only as his best friend, and he fell in love with Patricia's cousin, Angel. Rather than her. Will Ivan fall in love with Patricia or they will be remain best friends forever?Written byluigin teofilo",movie
Wheels of Fire,1985,"Action, Adventure, Sci-Fi","In a postapocalyptic future, a ruthless vehicular gang called the Highway Warriors is conquering the wasteland through murder and plunder. During a raid, they kidnap the sister of a road warrior named Trace. He brings hell down upon them.",movie
Watch List,2019,"Crime, Drama, Thriller","After her husband is mysteriously killed in the drug wars of the Philippines, a widowed mother of three must confront her own darkness to protect her children from further harm.",movie
"Paglaki ko, gusto kong maging pornstar",2021,Comedy,"A group consisted of four former porn actresses: Maui Taylor, Rosanna Roces, Alma Moreno, and Ara Mina are gathered together to teach the teen actresses to become a full-fledged porn star. Their project will receive a huge amount of cash each of the actresses to be launched in the said industry.",movie
Sex Drive,2003,"Adventure, Comedy",A 'sexperienced' fashion photographer and a broken-hearted fashion model take on a journey of fun and sex going to Sagada. Along the way they pick up an amnesia-hit guy starting a chain of conflicts.,movie
Always Be My Maybe,2016,Romance,"Jake del Mundo (Gerald Anderson) gets rejected by his long-time girlfriend when he proposed to marry him. Tin-Tin Paraiso (Arci Muñoz) ends her ""NO LABELS"" relationship with a guy when she learned that after 3 years of being non-committal to her, he finally started an official relationship with someone else. The two of them meet in a beach resort where their broken hearts draw them to each other. And one date after another, they learn about each other's views on love, commitment and relationships until they find themselves in a limbo. Will Jake muster the courage to finally DTR aka ""Define Their Relationship""? Will Tin-Tin get past the no labels phase and finally make this new relationship official? In this day and age of much available options and fleeting relationships, how do we assure love's certainty? When did we ever stop choosing a Yes or No and start falling in love with a MAYBE?",movie
Manila in the Claws of Light,1975,"Drama, Mystery","Julio Madiaga, a simple fisherman from the province, travels to Manila to find Ligaya, the woman he loves, after she went away with a mysterious woman promising a better future in the City. When he arrives, he becomes immersed in the city lifestyle and gets involved with its inhabitants experiencing extreme poverty, hard luck, and the overbearing need to grind for daily sustention. While Julio relentlessly searches for Ligaya, the city changes him little by little, becoming like an animal doomed to live only for survival in a wild jungle with no way out.Written byTerrence16",movie
F#*@bois,2019,Drama,Ace (23) and Miko (17) desperately want to become famous actors but it seems the universe has a different plan for their lives.,movie
On the Wings of Love,2015,"Comedy, Drama, Romance","A romantic comedy that centers around two very different people - Leah, a simple girl with an American dream; and Clark, a boy living his American life - who are forced to marry in order to legally stay and continue working in the United States.",tv series
Can't Help Falling in Love,2017,"Comedy, Drama, Romance","Two strangers, Gab and Dos, got tangled in fate when they accidentally got married. How? Why? When? Where? And - what?. Will Dos heed Gab's request of agreeing to an annulment (as soon as possible, take note!)? Will the process be that easy or something will get in the way?Written bysegue123",movie
My Neighbor's Wife,2011,Drama,"This Filipino story is about two couples who are best friends and the emotional ups and downs they go through when faced with marital infidelity. In a nutshell, conflict ensues when Jasmine decides to break up with her husband Bullet because of his one night stand with Giselle, a mistake that also rips apart Giselle's marriage with Aaron. This story tackles what happens when couples break up.",movie
The Hows of Us,2018,"Drama, Romance","Story of couple Primo (Daniel Padilla) and George (Kathryn Bernardo) who are in a long-term relationship and are already building and planning their future together. Their love will be put to the test as their relationship faces hurdles - from misunderstandings to different career paths, among others. How will they save their ""us""?",movie
TNT Jackson,1974,Action,"Her name is Diana Jackson, but you can call her T.N.T. When T.N.T.'s brother is killed by ruthless drug dealers, the beautiful young karate expert goes to the most dangerous part of Chinatown to find the killer. In trouble with the law since she was 13, T.N.T. wants no help from the pigs; but she does befriend a Chinaman named Joe, whose impressive martial arts skills prove useful more than once. In her quest for the killer, she'll meet the white drug lord, Sid; Elaine, his bitchy girlfriend; his suspicious Chinese assistant, Ming; and Charlie, his handsome black assistant with criminal ambitions of his own. Before her search is over, she'll find herself making love to Charlie, trading insults with Elaine, and fighting criminals while nude and in the dark. Just call her T.N.T.Written byJ. Spurlin",movie
